feme,cue,muebles,cantidad,direccion,establecimiento,distrito_escolar,comuna,origen_orden_de_compra,fecha_de_entrega,remito
CA-152,POLA,Escritorio Administrativo,29,Pola 1952,DEPOSITO MINISTERIO (POLA 1952),NA,NA,672-10230-OC23,28/10/2023,R0012-00002453
CA-152,POLA,Escritorio Docente,43,Pola 1952,DEPOSITO MINISTERIO (POLA 1952),NA,NA,672-10230-OC23,02/10/2023,R0012-00002454
CA-152,NA,Escritorio Docente,6,Cátulo Castillo 2750,MUSEO BERNASCONI,NA,NA,672-10230-OC23,1/9/2023,R0012-00002376
CA-152,POLA,Mesas usos multiples,15,Pola 1952,DEPOSITO MINISTERIO (POLA 1952),NA,NA,672-10230-OC23,08/09/23,R0012-00002402
CA-152,POLA,Mesas usos multiples,36,Pola 1952,DEPOSITO MINISTERIO (POLA 1952),NA,NA,672-10230-OC23,26/09/23,R0012-00002451
CA-153,20086600,Armario madera bajo.,6,Gral. Urquiza 277,Esc. Normal Superior N° 02 en Lenguas Vivas Mariano Acosta,6,3,BID 3 - Convenio - 10-22 Ampl,27/09/23,R0012-00002393
CA-153,20086600,Escritorio Docente,2,Gral. Urquiza 277,Esc. Normal Superior N° 02 en Lenguas Vivas Mariano Acosta,6,3,BID 3 - Convenio - 10-22 Ampl,27/09/23,R0012-00002393
CA-153,20296100,Armario madera bajo.,6,Goleta Santa Cruz 6999,Jardín de Infantes Común N° 10/20,20,8,BID 3 - Convenio - 10-22 Ampl,8/9/2023,R0012-00002394
CA-153,20296100,Escritorio Docente,2,Goleta Santa Cruz 6999,Jardín de Infantes Común N° 10/20,20,8,BID 3 - Convenio - 10-22 Ampl,8/9/2023,R0012-00002394
CA-153,20088400,"Pizarrón blanco para marcador 1,50m.",8,Avda. Eva Perón 1502,Esc. Primaria Común N° 01 Chacabuco,8,7,BID 3 - Convenio - 10-22 Ampl,27/09/23,R0012-00002447
CA-153,20116700,"Pizarrón blanco para marcador 1,50m.",8,José Enrique Rodó 4431,Esc. Primaria Común N° 21 Pedro Inchauspe,13,9,BID 3 - Convenio - 10-22 Ampl,27/09/23,R0012-00002448
CA-154,20081100,Armario madera bajo.,10,Armenia 2214,Esc. Primaria Común N° 17 Blas Parera,9,14,BID 3 - Convenio - 10-22 Ampl,9/20/2023,R0012-00002430
CA-155,20029800,"Pizarrón blanco para marcador 1,50m.",10,Elía 473,Esc. Primaria Común N° 19 Provincia de Formosa,5,4,BID 3 - Convenio - 10-22 Ampl,4/10/2023,R0012-00002457
CA-155,20076200,Escritorio Docente,13,Cuzco 116,Esc. Primaria Común N° 22 Provincia de Santa Cruz,18,9,BID 3 - Convenio - 10-22 Ampl,4/10/2023,R0012-00002458
CA-155,20076200,"Pizarrón blanco para marcador 1,50m.",16,Cuzco 116,Esc. Primaria Común N° 22 Provincia de Santa Cruz,18,9,BID 3 - Convenio - 10-22 Ampl,4/10/2023,R0012-00002458
CA-155,20095400,Escritorio Docente,2,Arévalo 1408,Jardín de Infantes Nucleado D (EPCjc 14/09°) [Sede],9,14,BID 3 - Convenio - 10-22 Ampl,4/10/2023,R0012-00002462
CA-155,20153700,Escritorio Docente,1,Av.Juan Bautista Alberdi 1083,"Esc. para Niños, Niñas y Jóvenes con Discapacidad Visual N° 35 José Manuel Estrada",8,6,BID 3 - Convenio - 10-22 Ampl,4/10/2023,R0012-00002463
CA-155,20153700,"Pizarrón blanco para marcador 1,50m.",5,Av.Juan Bautista Alberdi 1083,"Esc. para Niños, Niñas y Jóvenes con Discapacidad Visual N° 35 José Manuel Estrada",8,6,BID 3 - Convenio - 10-22 Ampl,4/10/2023,R0012-00002463
CA-155,20230900,Escritorio Docente,2,Moldes 1220,Jardín de Infantes Común N° 09/09°,9,13,BID 3 - Convenio - 10-22 Ampl,4/10/2023,R0012-00002461
CA-155,20246700,"Pizarrón blanco para marcador 1,50m.",10,Rondeau 2751,Jardín de Infantes Integral N° 10 Francisco Pascasio Moreno,6,4,BID 3 - Convenio - 10-22,4/10/2023,R0012-00002459
CA-155,20062600,"Pizarrón blanco para marcador 1,50m.",5,Gral. Gregorio Aráoz de Lamadrid 676,Esc. Primaria p/Adultos N° 29 Manuel Belgrano,4,4,BID 3 - Convenio - 10-22 Ampl,4/10/2023,R0012-00002460
PM-122,20159602,"Silla Escolar monocasco, Nivel Inicial altura 31 cm",25,Avda. Manuel Montes de Oca 807,Jardín de Infantes Nucleado A (EPCjs 15/05°),5,4,BID 3 - Convenio - 9-22,3/8/2023,114005
PM-122,20020200,"Silla Escolar monocasco, 3 Ciclo altura 45 cm",36,14 de Julio 542,Esc. Primaria Común N° 04 Gral. Juan Antonio Lavalleja,14,15,BID 3 - Convenio - 9-22 Ampl,3/8/2023,114007
PM-122,20159600,"Silla Escolar monocasco, Nivel Inicial altura 31 cm",72,Avda. Caseros 734,Jardín de Infantes Nucleado A (EPCjs 07/05°) (Sede),5,4,BID 3 - Convenio - 9-22 Ampl,3/8/2023,114008
PM-122,20006300,"Silla Escolar monocasco, 3 Ciclo altura 45 cm",60,Carlos Calvo 1140,Esc. Primaria Común N° 07 Gral. Güemes,3,1,BID 3 - Convenio - 9-22 Ampl,4/8/2023,114016
