n_proyecto,direccion,cui,estado_actual,estado_a_fin_de_obra,intervenciones,presupuesto_estimado,presupuesto_final,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_de_plazo,avance_de_obra,fin_obra,expediente,eje
x001,MOM 2358,0200865,BUENO,BUENO,"Instalacion electrica completa, aa en patio central",NA,"$11.125.823,97",Finalizado,finalizado,F11,7/7/2022,21/10/2022,90,NA,100%,19/1/2023,NA,Mejora Edilicia
x002,GIRARDOT 1946,0200659,REGULAR,BUENO,Instalacion electrica completa,NA,"$ 24.726.802,64",En Obra,en obra,F11,7/7/2022,17/11/2022,90,NA,38%,31/5/2023,NA,Mejora Edilicia
x003,LAVALLE 2386 / 2366,0200010,REGULAR,BUENO,"Impermeabilización en el patio descubierto y el local sanitario de 1° piso y el reemplazo de los desagües
Cloacales en el sector; el mejoramiento sanitarios de alumnos/as presentes; ejecución de rampas que salven diversos desniveles existentes en la planta baja;  pintura y revoques en diversos locales interiores (espacios áulicos y circulaciones)
Mejoramiento integral de los patios descubiertos del edificio. Instalación eléctrica de baja tensión y de muy baja tensión.",NA,"$105.856.827,00",En Obra,en obra,F11,23/8/2022,20/1/2023,210,NA,15%,18/8/2023,NA,Mejora Edilicia
x004,TEODORO GARCIA 3871 FRACASO,0200684,NA,NA,"Instalacion electrica completa, instalacion contra incendios",NA,"$ 160.149.498,32",Licitación,licitación,F11,26/12/2022,25/04/2023,270,NA,NA,NA,EX-2022-46105604- -GCABA-DGINFE,Mejora Edilicia
x005,AVDA. CONGRESO 3045,0200510,BUENO,BUENO,Instalacion electrica completa,-,"$ 70.547.510,65",Licitación,licitación,F11,24/4/2023,22/8/2023,150,NA,NA,NA,EX-2023-15757503- -GCABA-DGINFE,Mejora Edilicia
x006,HUMBOLDT 742,0200458,BUENO,BUENO,Instalacion electrica completa,NA,NA,Planificado,relicitar proyecto,F14 P37,NA,Sin fecha de inicio,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x007,Avda. Triunvirato 4247,0200715,BUENO,BUENO,Reparacion de cubierta (fondos covid),-,NA,Planificado,relicitar proyecto,F14 (COVID),NA,Sin fecha de inicio,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x008,CHACABUCO 922 / FRACASADA,0200138,REGULAR,NA,Refacción sanitarios y restauración de cubierta,NA,"$ 18.086.962,04",Licitación,licitación,F11,07/02/2023,07/06/2023,180,NA,NA,NA,EX-2023-06352830- -GCABA-DGINFE,Mejora Edilicia
x009,FERNANDEZ DE ENCISO 4451,0200740,BUENO,BUENO,Restauración y puesta en valor de las fachadas interiores del edificio histórico.,-,NA,Planificado,relicitar proyecto,F14 P37,NA,Sin fecha de inicio,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x010,SANTO TOME  4529,0200818,BUENO,BUENO,Nuevo sanitario para adultos y adecuación del sanitario de inicial. Motorización de cubierta parabólica corrediza.,-,NA,Planificado,relicitar proyecto,F14 (COVID),NA,Sin fecha de inicio,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x011,CAFAYATE 5115,0200946,BUENO,BUENO,Sanitarios. (Fondos covid),NA,NA,Planificado,relicitar proyecto,F14 (COVID),NA,Sin fecha de inicio,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x012,CAFAYATE 5388,0200957,BUENO,BUENO,Cambio de carpintenrias (fondos covid),NA,NA,Planificado,relicitar proyecto,F14 (COVID),NA,Sin fecha de inicio,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x013,Caracas 2057,0200589,BUENO,BUENO,Adecuación de la cubierta móvil. Refuncionalizacion de un depósito en un sanitario para docentes.,-,"$ 1.418.746,39",Planificado,relicitar proyecto,F14 (COVID),NA,Sin fecha de inicio,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x015,PIO COLLIVADINO 436 / FRACASADA,0200643,BUENO,BUENO,"Adecuación de sanitarios e incorporación del sanitario para personas con movilidad reducida.
Restauración, conservación y tratamiento de prevención de las fachadas del edificio
Reparación / recomposición de los revoques en paramentos interiores afectados por humedad de cimientos, cielorrasos armados de yeso y solados.
Restauración de carpinterías y herrerías (puertas, ventanas, postigos, celosías y rejas de protección).
Pintura general de paramentos interiores y cielorrasos de todos los locales del establecimiento
Adecuación de instalación eléctrica a normativas vigentes, ejecución de instalación sanitaria nueva para los núcleos sanitarios, instalación pluvial.
Reinstalación de cañerías de gas exteriores en el interior del edificio.",NA,$188.147.656,Licitación,licitación,F11,02/01/2023,02/05/2023,365,NA,NA,NA,EX-2022-47182283- -GCABA-DGINFE,Mejora Edilicia
x016,BERON DE ASTRADA 5920,0200953,REGULAR,BUENO,"Adecuacion accesibilidad y electrica, incendio, pintura interior + ver cd patio",NA,NA,En Proyecto,corporacion sur,F14,NA,Sin fecha de inicio,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x017,ARCE 611,0200447,MUY BUENO,MUY BUENO,Re ajuste aulas y ampliacion sala de 3. Casa casero?,-,"$ 32.743.917,78",Planificado,relicitar proyecto,F14,25/7/2022,22/11/2022,120,NA,NA,NA,NA,Mejora Edilicia
x018,AVDA. CASEROS 1555 FRACASO,0200251,NA,NA,Impermeabilización de techos,NA,"$ 27.798.016,73",Licitación,licitación,F11,28/02/2023,28/06/2023,150,NA,NA,NA,EX-2023-07701597-GCABA-DGINFE,Mejora Edilicia
x019,MORON 3745 / FRACASADA,0200601,NA,NA,"Acondicionamiento de cubierta, sanitarios, cocina  inst electrica gas, piso, cielorraso. Arreglo de revoque patio. Adecuacion pintura interior de areas significantes y",NA,"$ 127.099.297,01",Licitación,licitación,F11,02/12/2022,01/04/2023,Sin plazo,NA,NA,NA,EX-2022-44042246- -GCABA-DGINFE,Mejora Edilicia
