cue,establecimiento,direccion,fecha_de_entrega,muebles
20006300,Esc. Primaria Común N° 07 Gral. Güemes,Carlos Calvo 1140,4/8/2023,120 Sillas escolares
20019600,Esc. Primaria Común N° 03 Emilio Giménez Zapiola,Joaquín V. González 180,24/8/2023,14 Sillas escolares
20020200,Esc. Primaria Común N° 04 Gral. Juan Antonio Lavalleja,14 de Julio 542,3/8/2023,36 Sillas escolares
20023000,Esc. Primaria Común N° 22 Felix de Azara,José Pascual Tamborini 3948,24/8/2023,92 Sillas escolares
20029400,Jardín de Infantes Nucleado B (EPCjs 08/02°) El Jardín del Abasto [Sede],San Luis 3224,23/8/2023,90 Sillas escolares
20029400,Jardín de Infantes Nucleado B (EPCjs 08/02°) El Jardín del Abasto [Sede],San Luis 3224,4/8/2023,90 Sillas escolares
20029800,Esc. Primaria Común N° 19 Provincia de Formosa,Elía 473,4/10/2023,10 Pizarrones
20043900,Jardín de Infantes Integral N° 01/06°,Humberto I° 2861,4/8/2023,90 Sillas escolares
20062600,Esc. Primaria p/Adultos N° 29 Manuel Belgrano,Gral. Gregorio Aráoz de Lamadrid 676,4/10/2023,5 Pizarrones
20070900,Jardín de Infantes Integral N° 01/01°,Julián Alvarez 2849,23/8/2023,60 Sillas escolares
20076200,Esc. Primaria Común N° 22 Provincia de Santa Cruz,Cuzco 116,4/10/2023,"13 Escritorios, 16 Pizarrones"
20081100,Esc. Primaria Común N° 17 Blas Parera,Armenia 2214,9/20/2023,10 Armarios
20086600,Esc. Normal Superior N° 02 en Lenguas Vivas Mariano Acosta,Gral. Urquiza 277,27/09/23,"6 Armarios, 2 Escritorios"
20086600,Esc. Normal Superior N° 02 en Lenguas Vivas Mariano Acosta,Gral. Urquiza 277,5-oct,9 Mesas inicial
20088400,Esc. Primaria Común N° 01 Chacabuco,Avda. Eva Perón 1502,27/09/23,8 Pizarrones
20095400,Jardín de Infantes Nucleado D (EPCjc 14/09°) [Sede],Arévalo 1408,4/10/2023,2 Escritorios
20105800,Jardín de Infantes Nucleado A (EPCjc 08/19°),Carlos María Ramírez 2272,A confirmar,30 Sillas escolares
20109000,Jardín de Infantes Integral N° 02/21°,Nicolás Descalzi 5425,5/10,17 Mesas inicial
20116500,Jardín de Infantes Común N° 01/02°,Arenales 2733,23/8/2023,60 Sillas escolares
20116700,Esc. Primaria Común N° 21 Pedro Inchauspe,José Enrique Rodó 4431,27/09/23,8 Pizarrones
20134300,Esc. Primaria Común N° 10 Ing. Octavio S. Pico,Avda. Lafuente 559,24/8/2023,52 Sillas escolares
20135500,Esc. Primaria Común N° 20 Tte. Benjamín Matienzo,Hidalgo 635,24/8/2023,80 Sillas escolares
20153700,"Esc. para Niños, Niñas y Jóvenes con Discapacidad Visual N° 35 José Manuel Estrada",Av.Juan Bautista Alberdi 1083,4/10/2023,"1 Escritorio, 5 Pizarrones"
20159200,Jardín de Infantes Nucleado A (EPCjs 10/17°) Alicia Moreau de Justo) [Sede],Helguera 2435,A confirmar,3 Escritorios
20159600,Jardín de Infantes Nucleado A (EPCjs 07/05°) (Sede),Avda. Caseros 734,3/8/2023,72 Sillas escolares
20159602,Jardín de Infantes Nucleado A (EPCjs 15/05°),Avda. Manuel Montes de Oca 807,3/8/2023,25 Sillas escolares
20163800,Jardín de Infantes Nucleado B (EPCjc 17/11°) [Sede],Gral. Eugenio Garzón 3950,A confirmar,3 Escritorios
20169300,Esc. Normal Superior N° 11 Dr. Ricardo Levene,Deán Funes 1821,24/8/2023,36 Sillas escolares
20220400,Jardín de Infantes Integral N° 03/14° El Jardín de Olleros,Olleros 3621,23/8/2023,90 Sillas escolares
20230900,Jardín de Infantes Común N° 09/09°,Moldes 1220,4/10/2023,2 Escritorios
20246700,Jardín de Infantes Integral N° 10 Francisco Pascasio Moreno,Rondeau 2751,4/10/2023,10 Pizarrones
20296100,Jardín de Infantes Común N° 10/20,Goleta Santa Cruz 6999,8/9/2023,"6 Armarios, 2 Escritorios"
23037558,CEPAPI 3 contacto para entrega Marcelo Torres 1144973434,Isla Galápagos 2295,3/8/2023,10 Sillas escolares
POLA,DEPOSITO MINISTERIO (POLA 1952),Pola 1952,02/10/2023,43 Escritorios
POLA,DEPOSITO MINISTERIO (POLA 1952),Pola 1952,08/09/23,15 Mesas
POLA,DEPOSITO MINISTERIO (POLA 1952),Pola 1952,26/09/23,36 Mesas
POLA,DEPOSITO MINISTERIO (POLA 1952),Pola 1952,28/10/2023,29 Escritorios
NA,Biblioteca - Coordinación General,Cátulo Castillo 2750,A confirmar,4 Mesas de usos múltiples
NA,MUSEO BERNASCONI,Cátulo Castillo 2750,1/9/2023,6 Escritorios
